Filename,AUC,Precision,Recall,F,Rrecall,ExistenceReward,OverlapReward,Rprecision,Rf,Precision@k,R_AUC
ts1,0.46,0.48,0.03,0.05,0.06,0.25,0.01,0.25,0.10,0.03,0.51
ts3,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96
ts4,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69
ts5,0.93,0.60,0.10,0.17,0.15,0.45,0.07,0.54,0.23,0.10,0.87
ts8,0.38,0.25,0.06,0.10,0.10,0.40,0.02,0.06,0.07,0.06,0.58
ts2,0.66,0.46,0.04,0.07,0.14,0.56,0.03,0.36,0.20,0.04,0.73
ts9,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76
ts6,0.56,0.52,0.01,0.02,0.02,0.08,0.00,0.31,0.03,0.01,0.69
ts7,0.71,0.10,0.08,0.09,0.07,0.11,0.06,0.02,0.03,0.08,0.79
