Filename,AUC,Precision,Recall,F,Rrecall,ExistenceReward,OverlapReward,Rprecision,Rf,Precision@k,R_AUC
ts1,0.59,0.36,0.03,0.05,0.08,0.33,0.01,0.59,0.13,0.03,0.66
ts3,0.99,0.99,0.38,0.55,0.35,1.00,0.19,0.67,0.46,0.38,0.99
ts4,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
ts5,0.85,0.33,0.17,0.22,0.33,0.36,0.32,0.08,0.13,0.17,0.84
ts8,0.82,0.18,0.08,0.11,0.11,0.40,0.03,0.02,0.04,0.08,0.72
ts2,0.53,0.30,0.03,0.05,0.08,0.38,0.01,0.21,0.12,0.03,0.60
ts9,0.89,0.86,0.15,0.26,0.14,0.23,0.12,0.88,0.24,0.15,0.94
ts6,0.53,0.44,0.04,0.07,0.05,0.21,0.01,0.55,0.09,0.04,0.66
ts7,0.71,0.07,0.06,0.06,0.18,0.22,0.17,0.01,0.03,0.06,0.80
