Filename,AUC,Precision,Recall,F,Rrecall,ExistenceReward,OverlapReward,Rprecision,Rf,Precision@k,R_AUC
ts1,0.58,0.31,0.03,0.06,0.10,0.17,0.08,0.28,0.15,0.03,0.64
ts3,1.00,1.00,0.78,0.88,0.51,1.00,0.39,1.00,0.68,0.78,1.00
ts4,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56
ts5,0.87,0.12,0.07,0.09,0.09,0.09,0.09,0.12,0.10,0.07,0.86
ts8,0.83,0.31,0.12,0.18,0.07,0.20,0.03,0.20,0.10,0.12,0.83
ts2,0.51,0.45,0.02,0.03,0.04,0.19,0.00,0.47,0.07,0.02,0.50
ts9,0.52,0.84,0.08,0.15,0.04,0.09,0.03,0.59,0.07,0.08,0.50
ts6,0.55,0.01,0.00,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.68
ts7,0.73,0.01,0.02,0.01,0.61,0.61,0.61,0.03,0.06,0.02,0.80
