Name,AUC,Precision,Recall,F-score,Range-recall,ExistenceReward,OverlapReward,Range-precision,Range-Fscore,Precision@k,RangeAUC,Time,Number of Windows,Number of anomalies
ECG1,0.9402003566918736,0.734134514020662,0.16498460080549632,0.26942123181677496,0.09222261958007112,0.27626459143968873,0.04621212661516671,0.5706385518071317,0.15878372230160712,0.16498460080549632,0.997343436291103,53.284727573394775,229701,21105.0
ECG1_20k,0.9739812754539793,0.42563291139240506,0.3985185185185185,0.41162968630451413,0.2885333333333333,0.8888888888888888,0.13844444444444445,0.3884404799401732,0.33111480616003364,0.3985185185185185,0.9989617205361994,4.5968568325042725,19801,675.0
IOPS1,0.5330609801094242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9718426644646762,5.193386077880859,8209,206.0
SMD1,0.8543438193651777,0.9909747292418772,0.20378619153674832,0.3380541871921182,0.12877907568233202,0.625,0.004723844602915007,0.9714285714285714,0.22741102345268344,0.20378619153674832,0.9145808490051394,6.910812854766846,28230,2694.0
Occupancy1,0.9530066918004175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998178170685068,0.7307124137878418,2416,972.0
ECG1+IOPS1,0.79530046993104,0.4082687338501292,0.358683314415437,0.3818731117824773,0.07343915343915344,0.19047619047619047,0.04417989417989417,0.401308743364356,0.12415757743780668,0.358683314415437,0.6495848807215021,6.624516248703003,28585,881.0
SMD1+Occupancy1,0.8547675466167707,0.6758669497523001,0.26050190943807966,0.3760582791888167,0.578279345175897,0.6363636363636364,0.563758272378962,0.1588956937712297,0.24929248249244376,0.26050190943807966,0.9264417979505087,8.788788318634033,30895,3666.0
ECG1+IOPS1+Occupancy1,0.8758861737780962,0.5978535353535354,0.5110631408526713,0.5510619726505673,0.2182840722495895,0.23214285714285715,0.2148193760262726,0.2426509324344168,0.22982343770248423,0.5110631408526713,0.6765128218874394,7.295018196105957,31250,1853.0
SMD1+ECG1+Occupancy1,0.6936261210788073,0.3594674556213018,0.22391154111955772,0.27594038325053233,0.4516129032258065,0.45161290322580644,0.45161290322580644,0.012842872998255905,0.024975498023323675,0.22391154111955772,0.7298205696193203,14.278965950012207,50895,4341.0
ECG1+IOPS1+SMD1+Occupancy1,0.6376110528371852,0.36053412462908013,0.2137673191115021,0.26839707303603483,0.21875000000000003,0.21875,0.21875,0.025752437473505724,0.04608007801917972,0.2137673191115021,0.7412434613708453,13.493372440338135,59729,4547.0
