Name,AUC,Precision,Recall,F-score,Range-recall,ExistenceReward,OverlapReward,Range-precision,Range-Fscore,Precision@k,RangeAUC,Time,Number of Windows,Number of anomalies
ECG1,0.7632132518574801,0.32491803278688525,0.09391139540393272,0.14570850946517183,0.09594397584282716,0.17509727626459143,0.07615565073738607,0.19224591842180194,0.12800475047890883,0.09391139540393272,0.9452489650983773,62.78110408782959,229900,21105.0
ECG1_20k,0.9193384504815294,0.20588235294117646,0.1348148148148148,0.1629364368845121,0.17451851851851855,0.3333333333333333,0.13481481481481483,0.23640776699029126,0.20080259996184763,0.1348148148148148,0.9859950639887652,0.2793264389038086,20000,675.0
IOPS1,0.6889146314686249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980501734676316,0.13393402099609375,8784,206.0
SMD1,0.5960695411301179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576974430229584,0.4542124271392822,28479,2694.0
Occupancy1,0.3388817790028658,0.9787234042553191,0.047325102880658436,0.09028459273797843,0.023879040667361833,0.07142857142857142,0.011991657977059436,0.5,0.0455812101910828,0.047325102880658436,0.46067838692556357,0.031352996826171875,2665,972.0
ECG1+IOPS1,0.8176449442191559,0.13689700130378096,0.1191827468785471,0.12742718446601942,0.04095238095238095,0.07142857142857142,0.03333333333333333,0.10737812911725954,0.059291780868270555,0.1191827468785471,0.8097175800986981,0.48525142669677734,28784,881.0
SMD1+Occupancy1,0.4742831958370347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4697937068334213,0.5419974327087402,31144,3666.0
ECG1+IOPS1+Occupancy1,0.7506338643361834,0.15263908701854492,0.05774419859686994,0.08379013312451056,0.0329084249084249,0.07142857142857142,0.023278388278388275,0.14054726368159204,0.053329920863909495,0.05774419859686994,0.7908831220214119,0.5548901557922363,31449,1853.0
SMD1+ECG1+Occupancy1,0.6117896180908905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6460374148078898,1.1451523303985596,51144,4341.0
ECG1+IOPS1+SMD1+Occupancy1,0.6344519304815175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516404025432357,1.5268166065216064,59928,4547.0
