,Filename,AUC,Precision,Recall,F-score,Range-recall,ExistenceReward,OverlapReward,Range-precision,Range-Fscore,Precison@k,RangeAUC,Time
0,ts1,0.9473303289507267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931891848243547,15.944864988327026
1,ts2,0.6526340835209913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7506906520945044,56.628498792648315
2,ts3,0.8677726587912933,0.6664532650448144,0.020187329105823493,0.03918763763669559,0.024605296641329925,0.05588235294117647,0.01678603256636829,0.7534643893006767,0.047654381458072805,0.020187329105823493,0.8843531941833496,2303.540995836258
3,ts4,0.5858064795312307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7319859896648222,56.215131759643555
4,ts5,0.46769184445149287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684151951549535,50.95156002044678
5,ts6,0.6234645850601763,1.0,0.009954463623848353,0.01971269791338995,0.012982195845697332,0.041666666666666664,0.005811078140454996,1.0,0.025631636763090448,0.009954463623848353,0.6324654635185404,27.738198041915894
6,ts7,0.6201215037889651,0.2992125984251969,0.026988636363636364,0.04951140065146581,0.05518208794173186,0.09090909090909091,0.04625033719989209,0.1657754010695187,0.08280174436566183,0.026988636363636364,0.6168501323137153,151.11236357688904
7,ts8,0.9052906470875333,0.7185821697099892,0.014923708396537878,0.029240149478791055,0.022550908337773914,0.05830903790087463,0.013611375946998737,0.7792192570503672,0.043833264941367266,0.014923708396537878,0.9006609062182587,888.3521602153778
8,ts9,0.8327522627696644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.780678747120811,4842.853060722351
9,ts10,0.6111607433843945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6348589746502549,9.076723337173462
10,ts11,0.3625153989399799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34818345848483523,0.5098552703857422
11,ts12,0.6337622624661982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7410682998712577,50.005622148513794
12,ts13,0.9087536580854331,0.8167330677290837,0.018725308853417368,0.03661122893180042,0.026257432763424647,0.05757575757575758,0.01842785156034141,0.8089651939528887,0.05086392180652324,0.018725308853417368,0.9064127925576569,1022.6307897567749
13,ts14,0.8329960250427156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7420044383518569,0.8035731315612793
14,ts15,0.7788644729511977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7791013706699361,18.85735034942627
