Name,AUC,Precision,Recall,F-score,Range-recall,ExistenceReward,OverlapReward,Range-precision,Range-Fscore,Precision@k,RangeAUC,Time,Number of Windows,Number of anomalies
ECG1,0.6610991895548661,0.5032894736842105,0.021748400852878463,0.0416950538220466,0.02108191160331238,0.027237354085603113,0.019543050982739698,0.44540674352661175,0.040258323503845964,0.021748400852878463,0.8902092975136574,707.8189311027527,229900,21105.0
ECG1_20k,0.9728453835465477,0.4411764705882353,0.2222222222222222,0.29556650246305416,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.22058823529411764,0.2214022140221402,0.2222222222222222,0.9982382140412296,3.172015428543091,20000,675.0
IOPS1,0.5485657597783447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787928335253988,0.3417398929595947,8784,206.0
SMD1,0.6056310470383628,0.5729166666666666,0.020415738678544914,0.03942652329749103,0.035073260073260074,0.125,0.012591575091575092,0.5,0.06554851959609789,0.020415738678544914,0.5714349496095342,4.153530836105347,28479,2694.0
Occupancy1,0.6483684330783497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6004393842842124,0.07356810569763184,2665,972.0
ECG1+IOPS1,0.8172898141579575,0.4763231197771588,0.19409761634506242,0.27580645161290324,0.057714285714285725,0.07142857142857142,0.05428571428571429,0.4782009915794444,0.10299773052278197,0.19409761634506242,0.4436743016379842,9.618564367294312,28784,881.0
SMD1+Occupancy1,0.592716920151208,0.5698924731182796,0.014457174031642117,0.028198989092843837,0.012620712620712621,0.045454545454545456,0.004412254412254412,0.5,0.024619981811095232,0.014457174031642117,0.583995690150355,4.937043905258179,31144,3666.0
ECG1+IOPS1+Occupancy1,0.8341865818567538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49074562062091553,6.730793237686157,31449,1853.0
SMD1+ECG1+Occupancy1,0.7445600219869071,0.46875,0.006910850034554251,0.013620885357548242,0.022632163535389344,0.06451612903225806,0.012161172161172162,0.7258064516129032,0.04389557132802183,0.006910850034554251,0.8076484344703387,12.955966711044312,51144,4341.0
ECG1+IOPS1+SMD1+Occupancy1,0.6442374196157139,0.3137254901960784,0.028150428854189575,0.051664984863773966,0.027583333333333335,0.03125,0.026666666666666665,0.10884353741496598,0.04401284816149125,0.028150428854189575,0.48212811008157863,49.72115445137024,59928,4547.0
