Filename,AUC,Precision,Recall,F,Rrecall,ExistenceReward,OverlapReward,Rprecision,Rf,Precision@k,R_AUC
ts1,0.43,0.05,0.00,0.00,0.02,0.08,0.00,0.33,0.03,0.00,0.45
ts3,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45
ts4,0.97,0.14,0.25,0.18,0.25,0.25,0.25,0.19,0.22,0.25,1.00
ts5,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61
ts8,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
ts2,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40
ts9,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
ts6,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49
ts7,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
